Excluding censoring	Including censoring
Onset in February	0.57 (0.16)	0.52 (0.15)
Onset in April	-0.44 (0.08)	-0.43 (0.08)
Onset in May	-0.92 (0.13)	-0.93 (0.13)
Onset in June	-1.23 (0.22)	-1.49 (0.21)
Age 46-65	0.62 (0.07)	0.62 (0.07)
Age 66+	1.95 (0.09)	1.77 (0.08)
Male	0.52 (0.07)	0.43 (0.07)
Care home resident	-1.59 (0.42)	-1.71 (0.41)
Healthcare worker	-1.53 (0.09)	-1.45 (0.09)
Any comorbidity	0.55 (0.05)	0.58 (0.05)
Onset in February, age 46-65	-0.05 (0.18)	-0.03 (0.17)
Onset in April, age 46-65	-0.46 (0.1)	-0.48 (0.1)
Onset in May, age 46-65	-0.94 (0.16)	-0.91 (0.16)
Onset in June, age 46-65	-0.85 (0.31)	-0.75 (0.29)
Onset in February, age 66+	-0.09 (0.23)	-0.03 (0.22)
Onset in April, age 66+	-1.07 (0.12)	-1.07 (0.11)
Onset in May, age 66+	-1.03 (0.17)	-0.87 (0.17)
Onset in June, age 66+	-1.01 (0.28)	-0.73 (0.27)
Age 46-65, male	0.47 (0.08)	0.53 (0.08)
Male, age 66+	0.19 (0.08)	0.28 (0.08)
Age 46-65, care home resident	-0.38 (0.45)	-0.35 (0.44)
Age 66+, care home resident	-1.38 (0.42)	-1.18 (0.41)
Age 46-65, healthcare worker	-0.36 (0.11)	-0.37 (0.11)
Age 66+, healthcare worker	-0.25 (0.35)	-0.15 (0.35)
Onset in February, male	-0.21 (0.14)	-0.16 (0.14)
Onset in April, male	0.03 (0.07)	0.02 (0.07)
Onset in May, male	-0.19 (0.13)	-0.18 (0.13)
Onset in June, male	-0.65 (0.23)	-0.61 (0.22)
Onset in February, care home resident	0.47 (0.42)	0.5 (0.41)
Onset in April, care home resident	0.82 (0.12)	0.81 (0.11)
Onset in May, care home resident	0.61 (0.21)	0.52 (0.21)
Onset in June, care home resident	1.59 (0.43)	1.57 (0.42)
Onset in February, any comorbidity	-0.14 (0.17)	-0.05 (0.16)
Onset in April, any comorbidity	-0.08 (0.08)	-0.05 (0.08)
Onset in May, any comorbidity	-0.43 (0.16)	-0.43 (0.16)
Onset in June, any comorbidity	1.08 (1.28)	1.26 (1.28)
Appendix Table 13. Log odds ratios from model for predictors of hospital admission. Odds defined as probability of admission divided by probability of recovery without admission.

	Excluding censoring	Including censoring
Onset in February	-0.9 (0.3)	-0.8 (0.29)
Onset in April	-0.88 (0.12)	-0.85 (0.12)
Onset in May or June	-2.53 (0.29)	-2.41 (0.29)
Age 66+	5.34 (0.3)	5.19 (0.3)
Male	0.33 (0.07)	0.33 (0.07)
Care home resident	3.01 (0.38)	2.9 (0.38)
Any comorbidity	1.36 (0.37)	1.44 (0.36)
Age 66+, care home resident	-3.06 (0.39)	-2.88 (0.38)
Age 66+, any comorbidity	-1.06 (0.37)	-1.11 (0.37)
Onset in Februrary, care home resident	0.37 (0.6)	0.4 (0.59)
Onset in April, care home resident	0.26 (0.15)	0.25 (0.14)
Onset in May or June, care home resident	0.7 (0.33)	0.62 (0.33)
